state,state_fips,county_fips,county
AL,01,001,Autauga County
AL,01,003,Baldwin County
AL,01,005,Barbour County
AL,01,007,Bibb County
AL,01,009,Blount County
AL,01,011,Bullock County
AL,01,013,Butler County
AL,01,015,Calhoun County
AL,01,017,Chambers County
AL,01,019,Cherokee County
AL,01,021,Chilton County
AL,01,023,Choctaw County
AL,01,025,Clarke County
AL,01,027,Clay County
AL,01,029,Cleburne County
AL,01,031,Coffee County
AL,01,033,Colbert County
AL,01,035,Conecuh County
AL,01,037,Coosa County
AL,01,039,Covington County
AL,01,041,Crenshaw County
AL,01,043,Cullman County
AL,01,045,Dale County
AL,01,047,Dallas County
AL,01,049,DeKalb County
AL,01,051,Elmore County
AL,01,053,Escambia County
AL,01,055,Etowah County
AL,01,057,Fayette County
AL,01,059,Franklin County
AL,01,061,Geneva County
AL,01,063,Greene County
AL,01,065,Hale County
AL,01,067,Henry County
AL,01,069,Houston County
AL,01,071,Jackson County
AL,01,073,Jefferson County
AL,01,075,Lamar County
AL,01,077,Lauderdale County
AL,01,079,Lawrence County
AL,01,081,Lee County
AL,01,083,Limestone County
AL,01,085,Lowndes County
AL,01,087,Macon County
AL,01,089,Madison County
AL,01,091,Marengo County
AL,01,093,Marion County
AL,01,095,Marshall County
AL,01,097,Mobile County
AL,01,099,Monroe County
AL,01,101,Montgomery County
AL,01,103,Morgan County
AL,01,105,Perry County
AL,01,107,Pickens County
AL,01,109,Pike County
AL,01,111,Randolph County
AL,01,113,Russell County
AL,01,115,St. Clair County
AL,01,117,Shelby County
AL,01,119,Sumter County
AL,01,121,Talladega County
AL,01,123,Tallapoosa County
AL,01,125,Tuscaloosa County
AL,01,127,Walker County
AL,01,129,Washington County
AL,01,131,Wilcox County
AL,01,133,Winston County
AK,02,013,Aleutians East Borough
AK,02,016,Aleutians West Census Area
AK,02,020,Anchorage Municipality
AK,02,050,Bethel Census Area
AK,02,060,Bristol Bay Borough
AK,02,068,Denali Borough
AK,02,070,Dillingham Census Area
AK,02,090,Fairbanks North Star Borough
AK,02,100,Haines Borough
AK,02,105,Hoonah-Angoon Census Area
AK,02,110,Juneau City and Borough
AK,02,122,Kenai Peninsula Borough
AK,02,130,Ketchikan Gateway Borough
AK,02,150,Kodiak Island Borough
AK,02,164,Lake and Peninsula Borough
AK,02,170,Matanuska-Susitna Borough
AK,02,180,Nome Census Area
AK,02,185,North Slope Borough
AK,02,188,Northwest Arctic Borough
AK,02,195,Petersburg Census Area
AK,02,198,Prince of Wales-Hyder Census Area
AK,02,220,Sitka City and Borough
AK,02,230,Skagway Municipality
AK,02,240,Southeast Fairbanks Census Area
AK,02,261,Valdez-Cordova Census Area
AK,02,270,Wade Hampton Census Area
AK,02,275,Wrangell City and Borough
AK,02,282,Yakutat City and Borough
AK,02,290,Yukon-Koyukuk Census Area
AZ,04,001,Apache County
AZ,04,003,Cochise County
AZ,04,005,Coconino County
AZ,04,007,Gila County
AZ,04,009,Graham County
AZ,04,011,Greenlee County
AZ,04,012,La Paz County
AZ,04,013,Maricopa County
AZ,04,015,Mohave County
AZ,04,017,Navajo County
AZ,04,019,Pima County
AZ,04,021,Pinal County
AZ,04,023,Santa Cruz County
AZ,04,025,Yavapai County
AZ,04,027,Yuma County
AR,05,001,Arkansas County
AR,05,003,Ashley County
AR,05,005,Baxter County
AR,05,007,Benton County
AR,05,009,Boone County
AR,05,011,Bradley County
AR,05,013,Calhoun County
AR,05,015,Carroll County
AR,05,017,Chicot County
AR,05,019,Clark County
AR,05,021,Clay County
AR,05,023,Cleburne County
AR,05,025,Cleveland County
AR,05,027,Columbia County
AR,05,029,Conway County
AR,05,031,Craighead County
AR,05,033,Crawford County
AR,05,035,Crittenden County
AR,05,037,Cross County
AR,05,039,Dallas County
AR,05,041,Desha County
AR,05,043,Drew County
AR,05,045,Faulkner County
AR,05,047,Franklin County
AR,05,049,Fulton County
AR,05,051,Garland County
AR,05,053,Grant County
AR,05,055,Greene County
AR,05,057,Hempstead County
AR,05,059,Hot Spring County
AR,05,061,Howard County
AR,05,063,Independence County
AR,05,065,Izard County
AR,05,067,Jackson County
AR,05,069,Jefferson County
AR,05,071,Johnson County
AR,05,073,Lafayette County
AR,05,075,Lawrence County
AR,05,077,Lee County
AR,05,079,Lincoln County
AR,05,081,Little River County
AR,05,083,Logan County
AR,05,085,Lonoke County
AR,05,087,Madison County
AR,05,089,Marion County
AR,05,091,Miller County
AR,05,093,Mississippi County
AR,05,095,Monroe County
AR,05,097,Montgomery County
AR,05,099,Nevada County
AR,05,101,Newton County
AR,05,103,Ouachita County
AR,05,105,Perry County
AR,05,107,Phillips County
AR,05,109,Pike County
AR,05,111,Poinsett County
AR,05,113,Polk County
AR,05,115,Pope County
AR,05,117,Prairie County
AR,05,119,Pulaski County
AR,05,121,Randolph County
AR,05,123,St. Francis County
AR,05,125,Saline County
AR,05,127,Scott County
AR,05,129,Searcy County
AR,05,131,Sebastian County
AR,05,133,Sevier County
AR,05,135,Sharp County
AR,05,137,Stone County
AR,05,139,Union County
AR,05,141,Van Buren County
AR,05,143,Washington County
AR,05,145,White County
AR,05,147,Woodruff County
AR,05,149,Yell County
CA,06,001,Alameda County
CA,06,003,Alpine County
CA,06,005,Amador County
CA,06,007,Butte County
CA,06,009,Calaveras County
CA,06,011,Colusa County
CA,06,013,Contra Costa County
CA,06,015,Del Norte County
CA,06,017,El Dorado County
CA,06,019,Fresno County
CA,06,021,Glenn County
CA,06,023,Humboldt County
CA,06,025,Imperial County
CA,06,027,Inyo County
