hur_id,date,status
AL051977_ANITA_20,1977-08-29T12:00,Tropical Depression
AL051977_ANITA_20,1977-08-30T06:00,Tropical Storm
AL051977_ANITA_20,1977-08-30T18:00,Hurricane
AL051977_ANITA_20,1977-09-03T00:00,Tropical Storm
AL051977_ANITA_20,1977-09-03T06:00,Tropical Depression
AL061977_BABE_24,1977-09-03T06:00,Subtropical Depression
AL061977_BABE_24,1977-09-03T18:00,Subtropical storm
AL061977_BABE_24,1977-09-04T18:00,Tropical Storm
AL061977_BABE_24,1977-09-05T06:00,Hurricane
AL061977_BABE_24,1977-09-05T18:00,Tropical Storm
AL061977_BABE_24,1977-09-06T00:00,Tropical Depression
AL071977_CLARA_27,1977-09-05T12:00,Tropical Depression
AL071977_CLARA_27,1977-09-08T00:00,Tropical Storm
AL071977_CLARA_27,1977-09-08T12:00,Hurricane
AL071977_CLARA_27,1977-09-09T06:00,Tropical Storm
AL071977_CLARA_27,1977-09-11T12:00,Extratropical
AL081977_UNNAMED_9,1977-09-17T12:00,Tropical Depression
AL091977_UNNAMED_5,1977-09-22T12:00,Tropical Depression
AL101977_DOROTHY_15,1977-09-26T18:00,Tropical Depression
AL101977_DOROTHY_15,1977-09-27T12:00,Tropical Storm
AL101977_DOROTHY_15,1977-09-28T12:00,Hurricane
AL101977_DOROTHY_15,1977-09-29T18:00,Extratropical
AL111977_UNNAMED_9,1977-10-01T12:00,Tropical Depression
AL121977_UNNAMED_9,1977-10-03T12:00,Tropical Depression
AL131977_EVELYN_10,1977-10-13T18:00,Tropical Depression
AL131977_EVELYN_10,1977-10-14T06:00,Tropical Storm
AL131977_EVELYN_10,1977-10-15T00:00,Hurricane
AL131977_EVELYN_10,1977-10-16T00:00,Extratropical
AL141977_FRIEDA_10,1977-10-16T18:00,Tropical Depression
AL141977_FRIEDA_10,1977-10-17T12:00,Tropical Storm
AL141977_FRIEDA_10,1977-10-18T12:00,Tropical Depression
AL151977_UNNAMED_6,1977-10-24T12:00,Tropical Depression
AL011978_UNNAMED_19,1978-01-18T12:00,Subtropical Depression
AL011978_UNNAMED_19,1978-01-19T12:00,Subtropical storm
AL011978_UNNAMED_19,1978-01-22T12:00,Subtropical Depression
AL021978_UNNAMED_6,1978-06-21T12:00,Tropical Depression
AL031978_UNNAMED_9,1978-07-10T12:00,Tropical Depression
AL041978_AMELIA_6,1978-07-30T18:00,Tropical Depression
AL041978_AMELIA_6,1978-07-31T00:00,Tropical Storm
AL041978_AMELIA_6,1978-07-31T18:00,Tropical Depression
AL051978_BESS_13,1978-08-05T12:00,Tropical Depression
AL051978_BESS_13,1978-08-06T18:00,Tropical Storm
AL051978_BESS_13,1978-08-08T12:00,Tropical Depression
AL061978_CORA_19,1978-08-07T12:00,Tropical Depression
AL061978_CORA_19,1978-08-08T12:00,Tropical Storm
AL061978_CORA_19,1978-08-08T18:00,Hurricane
AL061978_CORA_19,1978-08-10T00:00,Tropical Storm
AL061978_CORA_19,1978-08-11T12:00,Tropical Depression
AL071978_UNNAMED_18,1978-08-07T12:00,Tropical Depression
AL081978_UNNAMED_6,1978-08-09T12:00,Tropical Depression
AL091978_DEBRA_14,1978-08-26T12:00,Tropical Depression
AL091978_DEBRA_14,1978-08-28T18:00,Tropical Storm
AL091978_DEBRA_14,1978-08-29T06:00,Tropical Depression
AL101978_ELLA_27,1978-08-30T00:00,Tropical Depression
AL101978_ELLA_27,1978-08-30T18:00,Tropical Storm
AL101978_ELLA_27,1978-08-31T18:00,Hurricane
AL111978_UNNAMED_9,1978-08-30T12:00,Tropical Depression
AL121978_UNNAMED_33,1978-09-03T12:00,Tropical Depression
AL131978_FLOSSIE_50,1978-09-04T00:00,Tropical Depression
AL131978_FLOSSIE_50,1978-09-04T12:00,Tropical Storm
AL131978_FLOSSIE_50,1978-09-08T18:00,Tropical Depression
AL131978_FLOSSIE_50,1978-09-11T00:00,Tropical Storm
AL131978_FLOSSIE_50,1978-09-12T06:00,Hurricane
AL131978_FLOSSIE_50,1978-09-15T12:00,Tropical Storm
AL131978_FLOSSIE_50,1978-09-16T00:00,Extratropical
AL141978_UNNAMED_10,1978-09-08T12:00,Tropical Depression
AL151978_HOPE_39,1978-09-12T00:00,Subtropical Depression
AL151978_HOPE_39,1978-09-15T00:00,Subtropical storm
AL151978_HOPE_39,1978-09-17T06:00,Tropical Storm
AL151978_HOPE_39,1978-09-21T12:00,Extratropical
AL161978_GRETA_26,1978-09-13T18:00,Tropical Depression
AL161978_GRETA_26,1978-09-14T12:00,Tropical Storm
AL161978_GRETA_26,1978-09-16T12:00,Hurricane
AL161978_GRETA_26,1978-09-19T06:00,Tropical Storm
AL161978_GRETA_26,1978-09-19T12:00,Tropical Depression
AL171978_UNNAMED_45,1978-09-18T12:00,Tropical Depression
AL181978_UNNAMED_9,1978-09-21T12:00,Tropical Depression
AL191978_IRMA_14,1978-10-02T12:00,Subtropical Depression
AL191978_IRMA_14,1978-10-04T12:00,Tropical Storm
AL191978_IRMA_14,1978-10-05T18:00,Extratropical
AL201978_JULIET_16,1978-10-07T18:00,Tropical Depression
AL201978_JULIET_16,1978-10-08T12:00,Tropical Storm
AL211978_UNNAMED_18,1978-10-13T12:00,Tropical Depression
AL221978_UNNAMED_13,1978-10-26T12:00,Tropical Depression
AL231978_KENDRA_24,1978-10-28T18:00,Tropical Depression
AL231978_KENDRA_24,1978-10-29T00:00,Tropical Storm
AL231978_KENDRA_24,1978-10-29T18:00,Hurricane
AL231978_KENDRA_24,1978-10-31T00:00,Tropical Storm
AL231978_KENDRA_24,1978-11-01T06:00,Extratropical
AL241978_UNNAMED_9,1978-11-03T12:00,Tropical Depression
AL011979_UNNAMED_22,1979-06-11T12:00,Tropical Depression
AL021979_ANA_19,1979-06-19T12:00,Tropical Depression
AL021979_ANA_19,1979-06-22T00:00,Tropical Storm
AL021979_ANA_19,1979-06-23T06:00,Tropical Depression
AL031979_UNNAMED_21,1979-07-08T12:00,Tropical Depression
AL041979_BOB_29,1979-07-09T12:00,Tropical Depression
AL041979_BOB_29,1979-07-10T06:00,Tropical Storm
